"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia","ModeloLogicoEISDireccion.DatoDeLaVia","","","",2,*,"","","Y","Element {[]} {[]}
","Corresponde al nombre de la calle, avenida, pasaje, etc. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al nombre de la calle, avenida, pasaje, etc. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.DatoDeLaVia",2,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia.id","ModeloLogicoEISDireccion.DatoDeLaVia.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia.extension","ModeloLogicoEISDireccion.DatoDeLaVia.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia.NombreDeLaVia","ModeloLogicoEISDireccion.DatoDeLaVia.NombreDeLaVia","","","",1,1,"","","Y","string {[]} {[]}
","Corresponden a la caracterización de la vía. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponden a la caracterización de la vía. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.DatoDeLaVia.NombreDeLaVia",1,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia.Numero","ModeloLogicoEISDireccion.DatoDeLaVia.Numero","","","",1,1,"","","Y","string {[]} {[]}
","Corresponde al número de la dirección. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al número de la dirección. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.DatoDeLaVia.Numero",1,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.CoordenadasGeograficas","ModeloLogicoEISDireccion.CoordenadasGeograficas","","","",0,1,"","","Y","string {[]} {[]}
","Corresponde a las coordenadas geográficas de la dirección, expresadas en formato de latitud y longitud. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde a las coordenadas geográficas de la dirección, expresadas en formato de latitud y longitud. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.CoordenadasGeograficas",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.CoordenadasGeograficas.id","ModeloLogicoEISDireccion.CoordenadasGeograficas.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.CoordenadasGeograficas.extension","ModeloLogicoEISDireccion.CoordenadasGeograficas.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.CoordenadasGeograficas.value","ModeloLogicoEISDireccion.CoordenadasGeograficas.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.CoordenadasGeograficas.latitud","ModeloLogicoEISDireccion.CoordenadasGeograficas.latitud","","","",1,1,"","","Y","decimal {[]} {[]}
","Corresponde a la latitud de la dirección, expresada en formato decimal. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde a la latitud de la dirección, expresada en formato decimal. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.CoordenadasGeograficas.latitud",1,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.CoordenadasGeograficas.longitud","ModeloLogicoEISDireccion.CoordenadasGeograficas.longitud","","","",1,1,"","","Y","decimal {[]} {[]}
","Corresponde a la longitud de la dirección, expresada en formato decimal. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde a la longitud de la dirección, expresada en formato decimal. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.CoordenadasGeograficas.longitud",1,1,"",""
"ModeloLogicoEISNombre","ModeloLogicoEISNombre","ModeloLogicoEISNombre","","","",0,*,"","","","null {[]} {[]}
","Modelo Logico para el tipo de dato Nombre","Modelo Logico para el tipo de dato Nombre","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ModeloLogicoEISNombre","ModeloLogicoEISNombre.Nombres","ModeloLogicoEISNombre.Nombres","","","",1,*,"","","Y","string {[]} {[]}
","Nombres de la persona natural, es la designación que dan los padres o representantes legales al momento de realizar la inscripción de nacimiento en la oficina del SRCeI.","Nombres de la persona natural, es la designación que dan los padres o representantes legales al momento de realizar la inscripción de nacimiento en la oficina del SRCeI.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISNombre.Nombres",1,*,"",""
"ModeloLogicoEISNombre","ModeloLogicoEISNombre.PrimerApellido","ModeloLogicoEISNombre.PrimerApellido","","","",1,1,"","","Y","string {[]} {[]}
","El apellido distingue a la persona del resto de los integrantes de la sociedad y el nombre de pila, lo individualiza jurídicamente de los restantes hijos de los mismos padres.","El apellido distingue a la persona del resto de los integrantes de la sociedad y el nombre de pila, lo individualiza jurídicamente de los restantes hijos de los mismos padres.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISNombre.PrimerApellido",1,1,"",""
"ModeloLogicoEISNombre","ModeloLogicoEISNombre.SegundoApellido","ModeloLogicoEISNombre.SegundoApellido","","","",0,1,"","","Y","string {[]} {[]}
","El apellido distingue a la persona del resto de los integrantes de la sociedad y el nombre de pila, lo individualiza jurídicamente de los restantes hijos de los mismos padres.","El apellido distingue a la persona del resto de los integrantes de la sociedad y el nombre de pila, lo individualiza jurídicamente de los restantes hijos de los mismos padres.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISNombre.SegundoApellido",0,1,"",""
"ModeloLogicoEISNombre","ModeloLogicoEISNombre.NombreSocial","ModeloLogicoEISNombre.NombreSocial","","","",0,1,"","","Y","string {[]} {[]}
","Nombre mediante el cual una persona se identifica y es reconocida socialmente, que puede diferir de su nombre legal registrado, especialmente en contextos de identidad de género o uso habitual.","Nombre mediante el cual una persona se identifica y es reconocida socialmente, que puede diferir de su nombre legal registrado, especialmente en contextos de identidad de género o uso habitual.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISNombre.NombreSocial",0,1,"",""
"ModeloLogicoEISRUN","ModeloLogicoEISRUN","ModeloLogicoEISRUN","","","",0,*,"","","","null {[]} {[]}
","Modelo Logico para el tipo de dato RUN","Modelo Logico para el tipo de dato RUN","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
